Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
Advancing Neuroscience and Therapy: Insights into Genetic and Non-Genetic Neuromodulation Approaches,"Neuromodulation techniques show promise in treating neurological and psychiatric disorders, with genetic methods providing high specificity and noninvasive options for clinical intervention.","Wei-jia Zhi, Ying Li, Lifeng Wang, Xiangjun Hu",2025,11,"Neuromodulation stands as a cutting-edge approach in the fields of neuroscience and therapeutic intervention typically involving the regulation of neural activity through physical and chemical stimuli. The purpose of this review is to provide an overview and evaluation of different neuromodulation techniques, anticipating a clearer understanding of the future developmental trajectories and the challenges faced within the domain of neuromodulation that can be achieved. This review categorizes neuromodulation techniques into genetic neuromodulation methods (including optogenetics, chemogenetics, sonogenetics, and magnetogenetics) and non-genetic neuromodulation methods (including deep brain stimulation, transcranial magnetic stimulation, transcranial direct current stimulation, transcranial ultrasound stimulation, photobiomodulation therapy, infrared neuromodulation, electromagnetic stimulation, sensory stimulation therapy, and multi-physical-factor stimulation techniques). By systematically evaluating the principles, mechanisms, advantages, limitations, and efficacy in modulating neuronal activity and the potential applications in interventions of neurological disorders of these neuromodulation techniques, a comprehensive picture is gradually emerging regarding the advantages and challenges of neuromodulation techniques, their developmental trajectory, and their potential clinical applications. This review highlights significant advancements in applying these techniques to treat neurological and psychiatric disorders. Genetic methods, such as sonogenetics and magnetogenetics, have demonstrated high specificity and temporal precision in targeting neuronal populations, while non-genetic methods, such as transcranial magnetic stimulation and photobiomodulation therapy, offer noninvasive and versatile clinical intervention options. The transformative potential of these neuromodulation techniques in neuroscience research and clinical practice is underscored, emphasizing the need for integration and innovation in technologies, the optimization of delivery methods, the improvement of mediums, and the evaluation of toxicity to fully harness their therapeutic potential.",,Cells,1,10.3390/cells14020122,https://consensus.app/papers/advancing-neuroscience-and-therapy-insights-into-genetic-zhi-li/e52d9e23119c5ec4b68ab0db3db52795/
Dynamic modeling of neuromodulation techniques: Towards elaboration and individual specificity,Dynamic modeling and analysis of neuromodulation techniques can improve diagnosis and treatment of neurological diseases by enhancing abnormal neural activity.,"Ying Yu, Fang Han, Qingyun Wang",2024,16,"Neurological disorders place a significant burden on patients, their families, and society, posing immense scientific challenges in terms of treatment and mechanistic research. Neuromodulation involves the application of invasive or non-invasive technologies to externally manipulate the nervous system of the brain, aiming to provide excitatory or inhibitory modulation that can improve abnormal neural activity. In the previous studies, neurodynamic analysis methods have not only provided novel tools for the study of neuromodulation techniques, but also provided new modulation strategies for the diagnosis and treatment of neurological diseases. In this paper, we present a brief overview of the current state of dynamic modeling and analysis for various neuromodulation techniques, including electrical, optical, magnetical, and ultrasonic approaches, and discuss the future prospects of modeling and analysis developments in neuromodulation.",,Europhysics Letters,2,10.1209/0295-5075/ad239b,https://consensus.app/papers/dynamic-modeling-of-neuromodulation-techniques-towards-yu-han/594f9e4012155b7fa7f197c2b407b1f3/
Neuromodulation of Neuronal Circuits: Back to the Future,"Neuromodulation alters neuronal circuits, transforming their intrinsic firing properties and synaptic strength, resulting in massive changes in behavior.",E. Marder,2012,854,,,Neuron,1,10.1016/j.neuron.2012.09.010,https://consensus.app/papers/neuromodulation-of-neuronal-circuits-back-to-the-future-marder/feded4caaf8858169903060d24854ef0/
Brain Neuromodulation Techniques,"Neuromodulation techniques, such as transcranial magnetic stimulation and deep brain stimulation, offer promising alternatives to pharmacological treatment for neurological and neuropsychiatric disorders.","P. Lewis, R. Thomson, J. Rosenfeld, P. Fitzgerald",2016,85,"The modulation of brain function via the application of weak direct current was first observed directly in the early 19th century. In the past 3 decades, transcranial magnetic stimulation and deep brain stimulation have undergone clinical translation, offering alternatives to pharmacological treatment of neurological and neuropsychiatric disorders. Further development of novel neuromodulation techniques employing ultrasound, micro-scale magnetic fields and optogenetics is being propelled by a rapidly improving understanding of the clinical and experimental applications of artificially stimulating or depressing brain activity in human health and disease. With the current rapid growth in neuromodulation technologies and applications, it is timely to review the genesis of the field and the current state of the art in this area.",,The Neuroscientist,1,10.1177/1073858416646707,https://consensus.app/papers/brain-neuromodulation-techniques-lewis-thomson/56e8d5307af55a2ca3b608e66bf9c6b5/
Shared pathway-specific network mechanisms of dopamine and deep brain stimulation for the treatment of Parkinson’s disease,"Deep brain stimulation and dopamine both affect local neural populations, but deep brain stimulation mimics dopamine in suppressing excessive interregional network synchrony in Parkinson's disease patients.","T. Binns, R. Köhler, Jonathan Vanhoecke, Meera Chikermane, M. Gerster, T. Merk, Franziska Pellegrini, J. Busch, J. Habets, Alessia Cavallo, Jean-Christin Beyer, B. Al-Fatly, Ningfei Li, Andreas Horn, P. Krause, K. Faust, Gerd-Helge Schneider, Stefan Haufe, Andrea A. Kühn, W. Neumann",2025,27,"Deep brain stimulation is a brain circuit intervention that can modulate distinct neural pathways for the alleviation of neurological symptoms in patients with brain disorders. In Parkinson's disease, subthalamic deep brain stimulation clinically mimics the effect of dopaminergic drug treatment, but the shared pathway mechanisms on cortex - basal ganglia networks are unknown. To address this critical knowledge gap, we combined fully invasive neural multisite recordings in patients undergoing deep brain stimulation surgery with normative MRI-based whole-brain connectomics. Our findings demonstrate that dopamine and stimulation exert distinct mesoscale effects through modulation of local neural population activity. In contrast, at the macroscale, stimulation mimics dopamine in its suppression of excessive interregional network synchrony associated with indirect and hyperdirect cortex - basal ganglia pathways. Our results provide a better understanding of the circuit mechanisms of dopamine and deep brain stimulation, laying the foundation for advanced closed-loop neurostimulation therapies.",non-rct experimental,Nature Communications,1,10.1038/s41467-025-58825-z,https://consensus.app/papers/shared-pathwayspecific-network-mechanisms-of-dopamine-binns-k%C3%B6hler/6ca01806598059bbb7c3c127985df20b/
Neuroimaging and electrophysiology meet invasive neurostimulation for causal interrogations and modulations of brain states,"Deep brain stimulation (DBS) effectively treats neuropsychiatric disorders and provides insights into brain networks, with neuroimaging and electrophysiology techniques enhancing our understanding of its mechanisms and clinical effects.","G. González-Escamilla, M. Muthuraman, D. Ciolac, V. Coenen, A. Schnitzler, Sergiu Groppa",2020,24,,literature review,NeuroImage,1,10.1016/j.neuroimage.2020.117144,https://consensus.app/papers/neuroimaging-and-electrophysiology-meet-invasive-gonz%C3%A1lez-escamilla-muthuraman/3c720cc5bc02541c99991904718bde33/
Global brain network modularity dynamics after local optic nerve damage following noninvasive brain stimulation: an EEG-tracking study.,"Noninvasive repetitive transorbital alternating current stimulation (rtACS) improves global modularity and stability of brain functional connectivity networks, enhancing visual processing in patients with optic nerve damage.","Zheng Wu, Jiahua Xu, A. Nürnberger, B. Sabel",2022,6,"Tightly connected clusters of nodes, called communities, interact in a time-dependent manner in brain functional connectivity networks (FCN) to support complex cognitive functions. However, little is known if and how different nodes synchronize their neural interactions to form functional communities (""modules"") during visual processing and if and how this modularity changes postlesion (progression or recovery) following neuromodulation. Using the damaged optic nerve as a paradigm, we now studied brain FCN modularity dynamics to better understand module interactions and dynamic reconfigurations before and after neuromodulation with noninvasive repetitive transorbital alternating current stimulation (rtACS). We found that in both patients and controls, local intermodule interactions correlated with visual performance. However, patients' recovery of vision after treatment with rtACS was associated with improved interaction strength of pathways linked to the attention module, and it improved global modularity and increased the stability of FCN. Our results show that temporal coordination of multiple cortical modules and intermodule interaction are functionally relevant for visual processing. This modularity can be neuromodulated with tACS, which induces a more optimal balanced and stable multilayer modular structure for visual processing by enhancing the interaction of neural pathways with the attention network module.",non-rct experimental,Cerebral cortex,1,10.1093/cercor/bhac375,https://consensus.app/papers/global-brain-network-modularity-dynamics-after-local-wu-xu/67207ccc6c3359f0b3302be66bfa5ccd/
Physiologically informed neuromodulation,"Physiologically informed neuromodulation techniques show promise in psychiatry, potentially enhancing treatment efficacy and responder rates by matching stimulation frequency to individual brain rhythms.","Karen Wendt, T. Denison, Gaynor Foster, Lothar Krinke, Alix C. Thomson, Saydra Wilson, A. Widge",2021,25,,,Journal of the Neurological Sciences,1,10.1016/j.jns.2021.120121,https://consensus.app/papers/physiologically-informed-neuromodulation-wendt-denison/1fc79dde9d9d5008b6d0a2c5e385dd96/
Beyond the wiring diagram: signalling through complex neuromodulator networks,"Neuromodulator networks, which combine with the neuronal wiring diagram, play a crucial role in the computations of the nervous system, challenging our understanding of behavior-underlying computations.",V. Brezina,2010,119,"During the computations performed by the nervous system, its 'wiring diagram'--the map of its neurons and synaptic connections--is dynamically modified and supplemented by multiple actions of neuromodulators that can be so complex that they can be thought of as constituting a biochemical network that combines with the neuronal network to perform the computation. Thus, the neuronal wiring diagram alone is not sufficient to specify, and permit us to understand, the computation that underlies behaviour. Here I review how such modulatory networks operate, the problems that their existence poses for the experimental study and conceptual understanding of the computations performed by the nervous system, and how these problems may perhaps be solved and the computations understood by considering the structural and functional 'logic' of the modulatory networks.",,Philosophical Transactions of the Royal Society B: Biological Sciences,,10.1098/rstb.2010.0105,https://consensus.app/papers/beyond-the-wiring-diagram-signalling-through-complex-brezina/57d83af80c585bfd9e00950169e29260/
Neuron matters: neuromodulation with electromagnetic stimulation must consider neurons as dynamic identities,"Neuronal properties and dynamic changes significantly influence the outcomes of electromagnetic stimulation in neuromodulation, providing insights for designing novel stimulation technology.","H. Ye, Jenna Hendee, Joyce Ruan, Alena Zhirova, Jayden Ye, Maria Dima",2022,33,"Neuromodulation with electromagnetic stimulation is widely used for the control of abnormal neural activity, and has been proven to be a valuable alternative to pharmacological tools for the treatment of many neurological diseases. Tremendous efforts have been focused on the design of the stimulation apparatus (i.e., electrodes and magnetic coils) that delivers the electric current to the neural tissue, and the optimization of the stimulation parameters. Less attention has been given to the complicated, dynamic properties of the neurons, and their context-dependent impact on the stimulation effects. This review focuses on the neuronal factors that influence the outcomes of electromagnetic stimulation in neuromodulation. Evidence from multiple levels (tissue, cellular, and single ion channel) are reviewed. Properties of the neural elements and their dynamic changes play a significant role in the outcome of electromagnetic stimulation. This angle of understanding yields a comprehensive perspective of neural activity during electrical neuromodulation, and provides insights in the design and development of novel stimulation technology.",literature review,Journal of NeuroEngineering and Rehabilitation,1,10.1186/s12984-022-01094-4,https://consensus.app/papers/neuron-matters-neuromodulation-with-electromagnetic-ye-hendee/7e426e72cda05165af6739b7c8c2bd87/
Neuromodulation for Pain: A Comprehensive Survey and Systematic Review of Clinical Trials and Connectomic Analysis of Brain Targets,"Neuromodulation for chronic pain is a rapidly growing field, with noninvasive cortical stimulation and spinal cord stimulation being the most common treatments, and a common pain network across superficial and deep brain stimulation targets.","Kazuaki Yamamoto, G. Elias, Michelle E Beyn, Ajmal Zemmar, A. Loh, C. Sarica, Jurgen Germann, Roohie Parmar, E. Wong, A. Boutet, Suneil K. Kalia, M. Hodaie, A. Lozano",2021,6,"Chronic pain is a debilitating condition that imposes a tremendous burden on health-care systems around the world. While frontline treatments for chronic pain involve pharmacological and psychological approaches, neuromodulation can be considered for treatment-resistant cases. Neuromodulatory approaches for pain are diverse in both modality and target and their mechanism of action is incompletely understood. The objectives of this study were to (i) understand the current landscape of pain neuromodulation research through a comprehensive survey of past and current registered clinical trials (ii) investigate the network underpinnings of these neuromodulatory treatments by performing a connectomic mapping analysis of cortical and subcortical brain targets that have been stimulated for pain relief. A search for clinical trials involving pain neuromodulation was conducted using 2 major trial databases (ClinicalTrials.gov and the International Clinical Trials Registry Platform). Trials were categorized by variables and analyzed to gain an overview of the contemporary research landscape. Additionally, a connectomic mapping analysis was performed to investigate the network connectivity patterns of analgesic brain stimulation targets using a normative connectome based on a functional magnetic resonance imaging dataset. In total, 487 relevant clinical trials were identified. Noninvasive cortical stimulation and spinal cord stimulation trials represented 49.3 and 43.7% of this count, respectively, while deep brain stimulation trials accounted for <3%. The mapping analysis revealed that superficial target connectomics overlapped with deep target connectomics, suggesting a common pain network across the targets. Research for pain neuromodulation is a rapidly growing field. Our connectomic network analysis reinforced existing knowledge of the pain matrix, identifying both well-described hubs and more obscure structures. Further studies are needed to decode the circuits underlying pain relief and determine the most effective targets for neuromodulatory treatment.",systematic review,Stereotactic and Functional Neurosurgery,2,10.1159/000517873,https://consensus.app/papers/neuromodulation-for-pain-a-comprehensive-survey-and-yamamoto-elias/7b2f67595cbd5c72833e3788f73e80d3/
Towards a biologically annotated brain connectome,"Biologically annotated connectomes provide a more accurate representation of brain connectivity, allowing for more accurate models of brain network formation, neural dynamics, and disease propagation.","Vincent Bazinet, J. Hansen, B. Mišić",2023,69,"The brain is a network of interleaved neural circuits. In modern connectomics, brain connectivity is typically encoded as a network of nodes and edges, abstracting away the rich biological detail of local neuronal populations. Yet biological annotations for network nodes - such as gene expression, cytoarchitecture, neurotransmitter receptors or intrinsic dynamics - can be readily measured and overlaid on network models. Here we review how connectomes can be represented and analysed as annotated networks. Annotated connectomes allow us to reconceptualize architectural features of networks and to relate the connection patterns of brain regions to their underlying biology. Emerging work demonstrates that annotated connectomes help to make more veridical models of brain network formation, neural dynamics and disease propagation. Finally, annotations can be used to infer entirely new inter-regional relationships and to construct new types of network that complement existing connectome representations. In summary, biologically annotated connectomes offer a compelling way to study neural wiring in concert with local biological features.",,Nature Reviews Neuroscience,1,10.1038/s41583-023-00752-3,https://consensus.app/papers/towards-a-biologically-annotated-brain-connectome-bazinet-hansen/a48b9d822be25a58be868da01e636098/
Short- and Long-Range Connections Differentially Modulate the Dynamics and State of Small-World Networks,"Short-range connections shape the dynamics of small-world networks, while long-range connections drive the system state, offering potential for combinatorial neuromodulation approaches to alleviate neurological disorders.","Simon Arvin, A. Glud, Keisuke Yonehara",2022,7,"The human brain contains billions of neurons that flexibly interconnect to support local and global computational spans. As neuronal activity propagates through the neural medium, it approaches a critical state hedged between ordered and disordered system regimes. Recent work demonstrates that this criticality coincides with the small-world topology, a network arrangement that accommodates both local (subcritical) and global (supercritical) system properties. On one hand, operating near criticality is thought to offer several neurocomputational advantages, e.g., high-dynamic range, efficient information capacity, and information transfer fidelity. On the other hand, aberrations from the critical state have been linked to diverse pathologies of the brain, such as post-traumatic epileptiform seizures and disorders of consciousness. Modulation of brain activity, through neuromodulation, presents an attractive mode of treatment to alleviate such neurological disorders, but a tractable neural framework is needed to facilitate clinical progress. Using a variation on the generative small-world model of Watts and Strogatz and Kuramoto's model of coupled oscillators, we show that the topological and dynamical properties of the small-world network are divided into two functional domains based on the range of connectivity, and that these domains play distinct roles in shaping the behavior of the critical state. We demonstrate that short-range network connections shape the dynamics of the system, e.g., its volatility and metastability, whereas long-range connections drive the system state, e.g., a seizure. Together, these findings lend support to combinatorial neuromodulation approaches that synergistically normalize the system dynamic while mobilizing the system state.",,Frontiers in Computational Neuroscience,3,10.3389/fncom.2021.783474,https://consensus.app/papers/short-and-longrange-connections-differentially-modulate-arvin-glud/dd7d73ed56d254d3809397b414424e83/
Neuromodulation techniques for modulating cognitive function: Enhancing stimulation precision and intervention effects,"Neuromodulation techniques, particularly non-invasive ones, can effectively regulate cognitive functions in the general population.","Hanwen Cao, Li Shang, Deheng Hu, Jianbing Huang, Yu Wang, Ming Li, Yilin Song, Qianzi Yang, Yan Luo, Ying Wang, Xinxia Cai, Juntao Liu",2024,2,"Neuromodulation techniques effectively intervene in cognitive function, holding considerable scientific and practical value in fields such as aerospace, medicine, life sciences, and brain research. These techniques utilize electrical stimulation to directly or indirectly target specific brain regions, modulating neural activity and influencing broader brain networks, thereby regulating cognitive function. Regulating cognitive function involves an understanding of aspects such as perception, learning and memory, attention, spatial cognition, and physical function. To enhance the application of cognitive regulation in the general population, this paper reviews recent publications from the Web of Science to assess the advancements and challenges of invasive and non-invasive stimulation methods in modulating cognitive functions. This review covers various neuromodulation techniques for cognitive intervention, including deep brain stimulation, vagus nerve stimulation, and invasive methods using microelectrode arrays. The non-invasive techniques discussed include transcranial magnetic stimulation, transcranial direct current stimulation, transcranial alternating current stimulation, transcutaneous electrical acupoint stimulation, and time interference stimulation for activating deep targets. Invasive stimulation methods, which are ideal for studying the pathogenesis of neurological diseases, tend to cause greater trauma and have been less researched in the context of cognitive function regulation. Non-invasive methods, particularly newer transcranial stimulation techniques, are gentler and more appropriate for regulating cognitive functions in the general population. These include transcutaneous acupoint electrical stimulation using acupoints and time interference methods for activating deep targets. This paper also discusses current technical challenges and potential future breakthroughs in neuromodulation technology. It is recommended that neuromodulation techniques be combined with neural detection methods to better assess their effects and improve the accuracy of non-invasive neuromodulation. Additionally, researching closed-loop feedback neuromodulation methods is identified as a promising direction for future development.",literature review,Neural Regeneration Research,2,10.4103/nrr.nrr-d-24-00836,https://consensus.app/papers/neuromodulation-techniques-for-modulating-cognitive-cao-shang/4f57b601714653cbb0921eed579f77b4/
Maximizing brain networks engagement via individualized connectome-wide target search,"Using Network Control Theory (NCT) and whole brain connectomics analysis, we can identify optimal stimulation targets for individual brains, potentially increasing network engagement and efficacy in neuromodulation.","A. Menardi, D. Momi, A. Vallesi, A. Barabási, Emma K. Towlson, E. Santarnecchi",2022,16,,,Brain Stimulation,1,10.1016/j.brs.2022.09.011,https://consensus.app/papers/maximizing-brain-networks-engagement-via-individualized-menardi-momi/44c53416871954afa6bbda84032c0e42/
An integrated modelling framework for neural circuits with multiple neuromodulators,This novel neural circuit model effectively simulates complex brain behaviors and can predict systemic drug effects of popular antidepressants and neuromodulator antagonists.,"Alok Joshi, Vahab Youssofzadeh, V. Vemana, T. McGinnity, G. Prasad, KongFatt Wong-Lin",2017,15,"Neuromodulators are endogenous neurochemicals that regulate biophysical and biochemical processes, which control brain function and behaviour, and are often the targets of neuropharmacological drugs. Neuromodulator effects are generally complex partly owing to the involvement of broad innervation, co-release of neuromodulators, complex intra- and extrasynaptic mechanism, existence of multiple receptor subtypes and high interconnectivity within the brain. In this work, we propose an efficient yet sufficiently realistic computational neural modelling framework to study some of these complex behaviours. Specifically, we propose a novel dynamical neural circuit model that integrates the effective neuromodulator-induced currents based on various experimental data (e.g. electrophysiology, neuropharmacology and voltammetry). The model can incorporate multiple interacting brain regions, including neuromodulator sources, simulate efficiently and easily extendable to large-scale brain models, e.g. for neuroimaging purposes. As an example, we model a network of mutually interacting neural populations in the lateral hypothalamus, dorsal raphe nucleus and locus coeruleus, which are major sources of neuromodulator orexin/hypocretin, serotonin and norepinephrine/noradrenaline, respectively, and which play significant roles in regulating many physiological functions. We demonstrate that such a model can provide predictions of systemic drug effects of the popular antidepressants (e.g. reuptake inhibitors), neuromodulator antagonists or their combinations. Finally, we developed user-friendly graphical user interface software for model simulation and visualization for both fundamental sciences and pharmacological studies.",,Journal of the Royal Society Interface,1,10.1098/rsif.2016.0902,https://consensus.app/papers/an-integrated-modelling-framework-for-neural-circuits-joshi-youssofzadeh/9a4b36bcbd325ba4b2a4ddb4a041b691/
Neural Circuit Mapping and Neurotherapy-Based Strategies,"Neural circuit mapping and neurotherapy-based strategies offer more efficient, focused, and specialized treatments for various neurological and psychiatric diseases.",Hany E. Marei,2025,3,"Recent developments in neural circuit mapping and neurotherapy are changing our understanding of the dynamic network structure of the brain and offering new treatment options. In many neurological and psychiatric diseases, targeted control of specific brain circuits has proven to be a successful strategy to reduce cognitive, behavioral, and motor abnormalities. Sophisticated retrograde tracing techniques, transcranial magnetic stimulation (TMS), chemogenetics, optogenetics, and other technologies have greatly improved our ability to outline, observe, and control neuronal circuits with remarkable accuracy. These sophisticated techniques have revealed crucial information on neuroplasticity, circuit remodeling following injury, and the therapeutic potential of neuromodulatory interventions. Disorders include depression, anxiety, stroke, and neurodegenerative diseases are treated using techniques such as optogenetic stimulation, chemogenetic activation, and non-invasive brain stimulation to restore circuit function. Emerging multifunctional probes like Tetracysteine Display of Optogenetic Elements (Tetro-DOpE) provide real-time monitoring and modification of neuronal populations, improving circuit-level interventions' precision. At the same time, especially following severe brain injury and neurodegeneration, stem cell treatments combined with neurogenesis-promoting strategies show great promise in increasing circuit repair and functional recovery. The development of drug delivery methods like tailored nanoparticle systems and multifunctional probes is helping to improve the accuracy and safety of treatments by reducing off-target effects. These developments taken together draw attention to a notable shift toward precision neuromedicine. These techniques are meant to offer more efficient, focused, and specialized treatments for various neurological and psychiatric diseases by combining sophisticated circuit mapping with tailored therapeutic interventions.",,Cellular and Molecular Neurobiology,1,10.1007/s10571-025-01595-5,https://consensus.app/papers/neural-circuit-mapping-and-neurotherapybased-strategies-marei/b1f62e0f9ce25f5097d6330e03816cd5/
Electrophysiological approaches to informing therapeutic interventions with deep brain stimulation,"Electrophysiological brain recording and imaging can help define target locations and stimulation parameters for neuromodulation therapy, such as deep brain stimulation.","A. Asadi, A. Wiesman, C. Wiest, Sylvain Baillet, Huiling Tan, M. Muthuraman",2025,3,"Neuromodulation therapy comprises a range of non-destructive and adjustable methods for modulating neural activity using electrical stimulations, chemical agents, or mechanical interventions. Here, we discuss how electrophysiological brain recording and imaging at multiple scales, from cells to large-scale brain networks, contribute to defining the target location and stimulation parameters of neuromodulation, with an emphasis on deep brain stimulation (DBS).",,NPJ Parkinson's Disease,1,10.1038/s41531-024-00847-3,https://consensus.app/papers/electrophysiological-approaches-to-informing-asadi-wiesman/2555f43624d75cd4a1cf6f25168f741f/
Circuit analysis of the Drosophila brain using connectivity-based neuronal classification reveals organization of key communication pathways,"Connectivity-based neuronal classification reveals key communication pathways in the Drosophila brain, revealing complex brain function from organized connectomic architecture.","Ketan Mehta, R. Goldin, G. Ascoli",2022,8,"We present a functionally relevant, quantitative characterization of the neural circuitry ofat the mesoscopic level of neuron types as classified exclusively based on potential network connectivity. Starting from a large neuron-to-neuron brain-wide connectome of the fruit fly, we use stochastic block modeling and spectral graph clustering to group neurons together into a common ""cell class"" if they connect to neurons of other classes according to the same probability distributions. We then characterize the connectivity-based cell classes with standard neuronal biomarkers, including neurotransmitters, developmental birthtimes, morphological features, spatial embedding, and functional anatomy. Mutual information indicates that connectivity-based classification reveals aspects of neurons that are not adequately captured by traditional classification schemes. Next, using graph theoretic and random walk analyses to identify neuron classes as hubs, sources, or destinations, we detect pathways and patterns of directional connectivity that potentially underpin specific functional interactions in thebrain. We uncover a core of highly interconnected dopaminergic cell classes functioning as the backbone communication pathway for multisensory integration. Additional predicted pathways pertain to the facilitation of circadian rhythmic activity, spatial orientation, fight-or-flight response, and olfactory learning. Our analysis provides experimentally testable hypotheses critically deconstructing complex brain function from organized connectomic architecture.",,Network Neuroscience,1,10.1162/netn_a_00283,https://consensus.app/papers/circuit-analysis-of-the-drosophila-brain-using-mehta-goldin/070f6f4ee6ba5fb2bee65515bb627d62/
Optimization of TMS target engagement: current state and future perspectives,"TMS-EEG treatment effectiveness in neuropsychiatry depends on precise anatomical targeting and neurophysiological response characterization, which can be achieved using multimodal neuroimaging techniques in real time.","P. Lioumis, T. Roine, Ida Granö, Dogu Baran Aydogan, Elena Ukharova, Victor H. Souza, D. Kičić, Risto J. Ilmoniemi, Nikos Makris",2025,7,"Neuromodulation is based on the principle that brain stimulation produces plastic changes in cerebral circuitry. Given the intersubject structural and functional variability, neuromodulation has a personalized effect in the brain. Moreover, because of cerebral dominance and interhemispheric functional and structural differences in the same individual, the characterization of specific brain circuitries involved is currently not feasible. This notion is extremely important for neuromodulation treatments applied in neuropsychiatry. Specifically, the efficacy of the neuromodulation treatments is critically dependent on the anatomical precision of the brain target and the circuitry which has been affected by the TMS intervention. Furthermore, for a complete understanding of how the brain behaves under stimulation, the characterization of its neurophysiological response is necessary as well. This goal can be achieved with TMS-EEG guided by current multimodal neuroimaging techniques in real time, namely MRI-based anatomical segmentation and diffusion MRI-based tractographic analysis.",,Frontiers in Neuroscience,2,10.3389/fnins.2025.1517228,https://consensus.app/papers/optimization-of-tms-target-engagement-current-state-and-lioumis-roine/aa96174c11f45626a0daa9b40e6e75ff/
A Molecular Landscape of Mouse Hippocampal Neuromodulation,"Mouse hippocampus area CA1's neuromodulatory network architecture is revealed through single-cell RNA sequencing and transcriptomic neurotaxonomies, offering insights into adaptive neuronal circuit function.","Stephen J. Smith, M. von Zastrow",2022,5,"Adaptive neuronal circuit function requires a continual adjustment of synaptic network parameters known as ""neuromodulation."" This process is now understood to be based primarily on the binding of myriad secreted ""modulatory"" ligands such as dopamine, serotonin and the neuropeptides to G protein-coupled receptors (GPCRs) that, in turn, regulate the function of the ion channels that establish synaptic weights and membrane excitability. Many of the basic molecular mechanisms of neuromodulation are now known, but the organization of neuromodulation at a network level is still an enigma. New single-cell RNA sequencing data and transcriptomic neurotaxonomies now offer bright new lights to shine on this critical ""dark matter"" of neuroscience. Here we leverage these advances to explore the cell-type-specific expression of genes encoding GPCRs, modulatory ligands, ion channels and intervening signal transduction molecules in mouse hippocampus area CA1, with the goal of revealing broad outlines of this well-studied brain structure's neuromodulatory network architecture.",,Frontiers in Neural Circuits,1,10.3389/fncir.2022.836930,https://consensus.app/papers/a-molecular-landscape-of-mouse-hippocampal-smith-zastrow/f7dd5f6bdd0e51d18f8afc56a59d8aea/
"Ultrasound Neuromodulation: A Review of Results, Mechanisms and Safety","Ultrasound neuromodulation is a safe, non-invasive brain stimulation method with potential for both scientific research and therapeutic applications.","Joseph Blackmore, Shamit Shrivastava, J. Sallet, Christopher R. Butler, R. Cleveland",2019,430,,literature review,Ultrasound in Medicine & Biology,1,10.1016/j.ultrasmedbio.2018.12.015,https://consensus.app/papers/ultrasound-neuromodulation-a-review-of-results-blackmore-shrivastava/1ec2089b961351518476d8d4dd7340bd/
Using causal methods to map symptoms to brain circuits in neurodevelopment disorders: moving from identifying correlates to developing treatments,"New computational and neuromodulatory approaches can identify brain networks involved in complex symptomatology in neurodevelopmental disorders, potentially leading to symptom-based targeted therapies.",A. Cohen,2022,5,"A wide variety of model systems and experimental techniques can provide insight into the structure and function of the human brain in typical development and in neurodevelopmental disorders. Unfortunately, this work, whether based on manipulation of animal models or observational and correlational methods in humans, has a high attrition rate in translating scientific discovery into practicable treatments and therapies for neurodevelopmental disorders.With new computational and neuromodulatory approaches to interrogating brain networks, opportunities exist for ""bedside-to bedside-translation"" with a potentially shorter path to therapeutic options. Specifically, methods like lesion network mapping can identify brain networks involved in the generation of complex symptomatology, both from acute onset lesion-related symptoms and from focal developmental anomalies. Traditional neuroimaging can examine the generalizability of these findings to idiopathic populations, while non-invasive neuromodulation techniques such as transcranial magnetic stimulation provide the ability to do targeted activation or inhibition of these specific brain regions and networks. In parallel, real-time functional MRI neurofeedback also allow for endogenous neuromodulation of specific targets that may be out of reach for transcranial exogenous methods.Discovery of novel neuroanatomical circuits for transdiagnostic symptoms and neuroimaging-based endophenotypes may now be feasible for neurodevelopmental disorders using data from cohorts with focal brain anomalies. These novel circuits, after validation in large-scale highly characterized research cohorts and tested prospectively using noninvasive neuromodulation and neurofeedback techniques, may represent a new pathway for symptom-based targeted therapy.",,Journal of Neurodevelopmental Disorders,1,10.1186/s11689-022-09433-1,https://consensus.app/papers/using-causal-methods-to-map-symptoms-to-brain-circuits-in-cohen/1f2c83df555253ddb3ca52934af89a2a/
